文件标题,发布时间,行政区,行政区代码,城市,供应计划年度,供应总量_总量,供应总量_增量,供应总量_存量,商服用地,工矿仓储用地,住宅用地_总量,住宅用地_保障性住房用地,住宅用地_中小套型商品房用地,住宅用地_普通商品房用地,住宅用地_棚户区改造住房用地,交通运输用地,公共管理与公共服务用地,水域及水利设施用地,教育用地,工业用地,公益事业用地,特殊用地,其他用地,md5,url,crawling_time
魏县2019年度国有建设用地供应计划,2019年4月2日 10:01,河北省 > 邯郸市 > 魏县,魏县,邯郸市,2019,173.9998公顷,,,6公顷,53.3333公顷,73.3333公顷,2.2公顷,,,,26.6666公顷,14.6666公顷,,,,,,,ab9d66edfbad3f609697432c0a613821,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=603a6cf7-fa18-4ee3-90d4-f72932e2966b&sitePath=,2020/7/6
元氏县2019年度国有建设用地供应计划,2019年4月2日 9:11,河北省 > 石家庄市 > 元氏县,元氏县,石家庄市,2019,139.6894公顷,88.562公顷,51.1274公顷,37.8958公顷,,41.9652公顷,,29.3757公顷,,,21.9276公顷,,,,37.9008公顷,,,,cca23282d9cff9627f326a86a1ca3551,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=44f6f16b-05dd-4605-8319-2e5d520f12cd&sitePath=,2020/7/6
肥乡县2019年度国有建设用地供应计划,2019年4月1日 18:10,河北省 > 邯郸市 > 肥乡县,肥乡县,邯郸市,2019,105.3333公顷以内,,,5.3333公顷,40公顷,23.3333公顷,,,,,,36.6667公顷,,,,,,,77a696f739003692d5c369bbb536b7c0,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=ed7c726a-86cd-43ea-abe5-3b622e1fea8f&sitePath=,2020/7/6
承德市本级2019年度国有建设用地供应计划,2019年4月1日 17:32,河北省 > 承德市 > 承德市本级,承德市本级,承德市,2019,269.2660公顷以内,,,85.5261公顷,63.2453公顷,105.1313公顷,1.1664公顷,,,28.4272公顷,,,,,,,,,f94e28b675bf502aa1a83228d7b25593,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=efc182e5-3eb9-4275-946e-d657c5bac46c&sitePath=,2020/7/6
保定市本级2019年度国有建设用地供应计划,2019年4月1日 14:21,河北省 > 保定市 > 保定市本级,保定市本级,保定市,2019,1335.2700公顷,8.7314公顷以内,20.3731公顷,85.0819公顷,418.6928公顷,388.9217公顷,,,,60.8693公顷,280.1186公顷,4.0553公顷,,,,,,,5e9e6a6cc49dae533fa14d6b50967304,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=72ca1e31-8faf-4e16-9b63-41f4e2dab9d7&sitePath=,2020/7/6
邯郸市本级2019年度国有建设用地供应计划,2019年4月1日 9:49,河北省 > 邯郸市 > 邯郸市本级,邯郸市本级,邯郸市,2019,898.6850公顷以内,641.5971公顷,257.0879公顷,77.9022公顷,185.7972公顷,454.9039公顷,,,,,1.9324公顷,177.7493公顷,,,,,0.4000公顷,,06cd1cb7d9b9dd553d42596a2eb6197e,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=9480611d-8401-484d-a2ca-398f53658d15&sitePath=,2020/7/6
宽城满族自治县2019年度国有建设用地供应计划,2019年4月1日 8:53,河北省 > 承德市 > 宽城满族自治县,宽城满族自治县,承德市,2019,355.8779公顷,,,51.9529公顷,,45.5357公顷,,,,,146.0322公顷,0.4145公顷,,,,,,,61725cc79dafe46abba08a988133e1dc,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=fc4a7f9c-ae6b-4df5-bde1-0e04e2286b0a&sitePath=,2020/7/6
正定县2019年度国有建设用地供应计划,2019年3月30日 10:34,河北省 > 石家庄市 > 正定县,正定县,石家庄市,2019,412.7227公顷,386.4763公顷,26.2464公顷,78.3709公顷,126.2956公顷,85.0017公顷,,,,,3.7653公顷,119.2892公顷,,,,,,,78d8d9656aaabaff49a292107d5058df,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=5f1d4e2d-8bdb-4901-91f1-b9db48dc76d1&sitePath=,2020/7/6
定兴县2019年度国有建设用地供应计划,2019年3月29日 17:27,河北省 > 保定市 > 定兴县,定兴县,保定市,2019,163.9233公顷,,,1.734公顷,47.092公顷,46.9753公顷,5.9520公顷,,,,31.3927公顷,36.7293公顷,,,,,,,2bee6c4069bf13a8d15fc8d011cf3cd4,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=76318c70-4f04-4c02-b702-e73e489e4141&sitePath=,2020/7/6
衡水市本级2019年度国有建设用地供应计划,2019年3月29日 16:37,河北省 > 衡水市 > 衡水市本级,衡水市本级,衡水市,2019,2365.2859公顷以内,,,126.8109公顷,1164.875公顷,582.4988公顷,188.932公顷,,,,130.2286公顷,339.9632公顷,,,,,9.1294公顷,,897fda31993af5b9b47f05c0c07c8f17,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c3a42435-a394-4c41-bde1-0553fed0c8da&sitePath=,2020/7/6
